pais,categoria_comida,consumo,emissao_co2
Macedonia,aves,18.77,20.16
Macedonia,bovinos,7.69,237.3
Macedonia,caprinos,0.94,32.92
Macedonia,peixes,5.47,8.73
Macedonia,ovos,6.38,5.86
Macedonia,laticínios,157.93,224.96
Macedonia,trigo,104.8,19.99
Macedonia,arroz,2.81,3.6
Macedonia,soja,0.46,0.21
Macedonia,nozes,5.87,10.39
Hungary,suínos,34.93,123.63
Hungary,aves,23.78,25.54
Hungary,bovinos,4.96,153.06
Hungary,caprinos,0.11,3.85
Hungary,peixes,4.93,7.87
Hungary,ovos,12.45,11.44
Hungary,laticínios,159.05,226.55
Hungary,trigo,109.98,20.97
Hungary,arroz,2.15,2.75
Hungary,soja,0.01,0.0
Hungary,nozes,0.64,1.13
Trinidad and Tobago,suínos,8.92,31.57
Trinidad and Tobago,aves,58.27,62.59
Trinidad and Tobago,bovinos,6.13,189.16
Trinidad and Tobago,caprinos,2.79,97.71
Trinidad and Tobago,peixes,20.54,32.8
Trinidad and Tobago,ovos,4.2,3.86
Trinidad and Tobago,laticínios,103.8,147.85
Trinidad and Tobago,trigo,90.17,17.2
Trinidad and Tobago,arroz,16.38,20.96
Trinidad and Tobago,soja,0.04,0.02
Trinidad and Tobago,nozes,3.78,6.69
Tunisia,suínos,0.0,0.0
Tunisia,aves,18.5,19.87
Tunisia,bovinos,5.53,170.64
Tunisia,caprinos,5.34,187.01
Tunisia,peixes,12.63,20.17
Tunisia,ovos,7.67,7.05
Tunisia,laticínios,114.47,163.05
Tunisia,trigo,197.5,37.66
Tunisia,arroz,1.07,1.37
Tunisia,soja,1.88,0.85
Tunisia,nozes,6.34,11.22
Egypt,suínos,0.02,0.07
Egypt,aves,14.43,15.5
Egypt,bovinos,12.88,397.45
Egypt,caprinos,1.58,55.33
Egypt,peixes,21.46,34.26
Egypt,ovos,4.59,4.22
Egypt,laticínios,59.46,84.69
Egypt,trigo,146.83,28.0
Egypt,arroz,39.77,50.89
Egypt,soja,0.64,0.29
Egypt,nozes,1.82,3.22
Mauritius,suínos,4.08,14.44
Mauritius,aves,38.51,41.37
Mauritius,bovinos,5.99,184.84
Mauritius,caprinos,4.08,142.88
Mauritius,peixes,19.66,31.39
Mauritius,ovos,6.32,5.81
Mauritius,laticínios,117.27,167.04
Mauritius,trigo,114.02,21.74
Mauritius,arroz,45.56,58.3
Mauritius,soja,0.3,0.14
Mauritius,nozes,2.33,4.12
Bulgaria,suínos,26.26,92.95
Bulgaria,aves,20.68,22.21
Bulgaria,bovinos,3.84,118.49
Bulgaria,caprinos,1.63,57.08
Bulgaria,peixes,6.24,9.96
Bulgaria,ovos,8.36,7.68
Bulgaria,laticínios,155.71,221.79
Bulgaria,trigo,121.17,23.11
Bulgaria,arroz,2.24,2.87
Bulgaria,soja,0.04,0.02
Bulgaria,nozes,2.26,4.0
Morocco,suínos,0.01,0.04
Morocco,aves,20.77,22.31
Morocco,bovinos,8.04,248.1
Morocco,caprinos,4.36,152.69
Morocco,peixes,17.44,27.85
Morocco,ovos,6.68,6.14
Morocco,laticínios,54.68,77.89
Morocco,trigo,179.7,34.27
Morocco,arroz,1.1,1.41
Morocco,soja,0.0,0.0
Morocco,nozes,3.23,5.72
Slovakia,suínos,31.78,112.49
Slovakia,aves,15.13,16.25
Slovakia,bovinos,5.19,160.15
Slovakia,caprinos,0.16,5.6
Slovakia,peixes,8.39,13.4
Slovakia,ovos,16.05,14.74
Slovakia,laticínios,143.14,203.89
Slovakia,trigo,123.62,23.57
Slovakia,arroz,2.88,3.69
Slovakia,soja,0.02,0.01
Slovakia,nozes,3.7,6.55
Niger,suínos,0.09,0.32
Niger,aves,1.08,1.16
Niger,bovinos,8.97,276.8
Niger,caprinos,4.17,146.03
Niger,peixes,2.7,4.31
Niger,ovos,0.3,0.28
Niger,laticínios,58.92,83.93
Niger,trigo,4.79,0.91
Niger,arroz,13.17,16.85
Niger,soja,0.0,0.0
Niger,nozes,6.95,12.3
Kenya,suínos,0.29,1.03
Kenya,aves,0.47,0.5
Kenya,bovinos,9.54,294.38
Kenya,caprinos,1.86,65.14
Kenya,peixes,4.27,6.82
Kenya,ovos,1.84,1.69
Kenya,laticínios,94.86,135.12
Kenya,trigo,34.65,6.61
Kenya,arroz,12.94,16.56
Kenya,soja,0.2,0.09
Kenya,nozes,1.64,2.9
Jordan,suínos,0.02,0.07
Jordan,aves,33.39,35.87
Jordan,bovinos,5.61,173.11
Jordan,caprinos,5.68,198.91
Jordan,peixes,5.13,8.19
Jordan,ovos,3.92,3.6
Jordan,laticínios,77.68,110.65
Jordan,trigo,136.74,26.08
Jordan,arroz,19.67,25.17
Jordan,soja,0.02,0.01
Jordan,nozes,3.56,6.3
Japan,suínos,20.62,72.98
Japan,aves,19.42,20.86
Japan,bovinos,9.15,282.35
Japan,caprinos,0.14,4.9
Japan,peixes,31.1,49.66
Japan,ovos,19.15,17.59
Japan,laticínios,72.06,102.64
Japan,trigo,45.04,8.59
Japan,arroz,59.85,76.59
Japan,soja,7.34,3.3
Japan,nozes,2.59,4.58
Georgia,suínos,8.93,31.61
Georgia,aves,12.28,13.19
Georgia,bovinos,6.04,186.38
Georgia,caprinos,0.63,22.06
Georgia,peixes,10.42,16.64
Georgia,ovos,6.12,5.62
Georgia,laticínios,149.26,212.61
Georgia,trigo,163.43,31.17
Georgia,arroz,2.64,3.38
Georgia,soja,0.0,0.0
Georgia,nozes,2.47,4.37
Grenada,suínos,11.52,40.78
Grenada,aves,43.51,46.74
Grenada,bovinos,3.46,106.77
Grenada,caprinos,1.25,43.77
Grenada,peixes,27.95,44.63
Grenada,ovos,10.34,9.5
Grenada,laticínios,86.88,123.75
Grenada,trigo,59.59,11.36
Grenada,arroz,9.56,12.23
Grenada,soja,0.01,0.0
Grenada,nozes,0.18,0.32
El Salvador,suínos,3.23,11.43
El Salvador,aves,19.84,21.31
El Salvador,bovinos,5.95,183.6
El Salvador,caprinos,0.02,0.7
El Salvador,peixes,6.25,9.98
El Salvador,ovos,9.51,8.74
El Salvador,laticínios,124.34,177.11
El Salvador,trigo,28.19,5.38
El Salvador,arroz,10.53,13.48
El Salvador,soja,0.8,0.36
El Salvador,nozes,1.1,1.95
Cuba,suínos,19.82,70.15
Cuba,aves,20.15,21.65
Cuba,bovinos,6.39,197.18
Cuba,caprinos,1.24,43.42
Cuba,peixes,4.76,7.6
Cuba,ovos,9.82,9.02
Cuba,laticínios,99.94,142.35
Cuba,trigo,54.62,10.42
Cuba,arroz,67.7,86.64
Cuba,soja,6.34,2.85
Cuba,nozes,0.23,0.41
China,suínos,38.43,136.02
China,aves,13.2,14.18
China,bovinos,5.12,157.99
China,caprinos,3.13,109.61
China,peixes,21.01,33.55
China,ovos,18.76,17.23
China,laticínios,32.66,46.52
China,trigo,63.36,12.08
China,arroz,78.18,100.05
China,soja,3.66,1.65
China,nozes,6.39,11.31
Honduras,suínos,6.48,22.94
Honduras,aves,20.29,21.8
Honduras,bovinos,7.19,221.87
Honduras,caprinos,0.04,1.4
Honduras,peixes,2.7,4.31
Honduras,ovos,5.19,4.77
Honduras,laticínios,91.33,130.09
Honduras,trigo,37.36,7.12
Honduras,arroz,14.42,18.45
Honduras,soja,0.01,0.0
Honduras,nozes,0.75,1.33
Taiwan. ROC,suínos,39.37,139.35
Taiwan. ROC,aves,32.13,34.51
Taiwan. ROC,bovinos,5.21,160.77
Taiwan. ROC,caprinos,0.92,32.22
Taiwan. ROC,peixes,18.29,29.2
Taiwan. ROC,ovos,13.08,12.02
Taiwan. ROC,laticínios,41.72,59.43
Taiwan. ROC,trigo,50.92,9.71
Taiwan. ROC,arroz,45.85,58.67
Taiwan. ROC,soja,16.95,7.63
Taiwan. ROC,nozes,9.06,16.04
Angola,suínos,8.89,31.47
Angola,aves,17.33,18.62
Angola,bovinos,8.42,259.82
Angola,caprinos,1.08,37.82
Angola,peixes,15.24,24.33
Angola,ovos,1.11,1.02
Angola,laticínios,12.3,17.52
Angola,trigo,40.72,7.77
Angola,arroz,8.12,10.39
Angola,soja,0.52,0.23
Angola,nozes,2.26,4.0
Jamaica,suínos,3.99,14.12
Jamaica,aves,52.51,56.41
Jamaica,bovinos,3.97,122.51
Jamaica,caprinos,1.26,44.13
Jamaica,peixes,21.95,35.05
Jamaica,ovos,2.27,2.09
Jamaica,laticínios,91.13,129.81
Jamaica,trigo,70.67,13.48
Jamaica,arroz,23.45,30.01
Jamaica,soja,0.0,0.0
Jamaica,nozes,1.82,3.22
Namibia,suínos,4.21,14.9
Namibia,aves,12.19,13.09
Namibia,bovinos,3.75,115.72
Namibia,caprinos,2.27,79.5
Namibia,peixes,10.7,17.08
Namibia,ovos,1.63,1.5
Namibia,laticínios,73.05,104.05
Namibia,trigo,36.26,6.91
Namibia,arroz,6.31,8.07
Namibia,soja,0.07,0.03
Namibia,nozes,0.71,1.26
Belize,suínos,16.8,59.46
Belize,aves,28.31,30.41
Belize,bovinos,4.86,149.97
Belize,caprinos,0.14,4.9
Belize,peixes,7.57,12.09
Belize,ovos,4.85,4.46
Belize,laticínios,80.3,114.38
Belize,trigo,54.06,10.31
Belize,arroz,28.42,36.37
Belize,soja,1.88,0.85
Belize,nozes,5.58,9.88
Malaysia,suínos,7.76,27.47
Malaysia,aves,41.01,44.05
Malaysia,bovinos,6.52,201.19
Malaysia,caprinos,0.94,32.92
Malaysia,peixes,49.43,78.92
Malaysia,ovos,16.57,15.22
Malaysia,laticínios,25.28,36.01
Malaysia,trigo,51.04,9.73
Malaysia,arroz,81.25,103.98
Malaysia,soja,0.04,0.02
Malaysia,nozes,2.9,5.13
Zimbabwe,suínos,2.65,9.38
Zimbabwe,aves,4.97,5.34
Zimbabwe,bovinos,7.37,227.42
Zimbabwe,caprinos,0.96,33.62
Zimbabwe,peixes,2.8,4.47
Zimbabwe,ovos,1.75,1.61
Zimbabwe,laticínios,31.9,45.44
Zimbabwe,trigo,31.31,5.97
Zimbabwe,arroz,10.09,12.91
Zimbabwe,soja,0.54,0.24
Zimbabwe,nozes,2.22,3.93
Guatemala,suínos,4.85,17.17
Guatemala,aves,16.45,17.67
Guatemala,bovinos,5.6,172.8
Guatemala,caprinos,0.23,8.05
Guatemala,peixes,1.08,1.72
Guatemala,ovos,14.61,13.42
Guatemala,laticínios,46.6,66.38
Guatemala,trigo,35.9,6.85
Guatemala,arroz,5.66,7.24
Guatemala,soja,0.32,0.14
Guatemala,nozes,2.0,3.54
Uganda,suínos,3.37,11.93
Uganda,aves,1.51,1.62
Uganda,bovinos,5.15,158.92
Uganda,caprinos,1.25,43.77
Uganda,peixes,12.5,19.96
Uganda,ovos,0.97,0.89
Uganda,laticínios,37.27,53.09
Uganda,trigo,10.14,1.93
Uganda,arroz,4.64,5.94
Uganda,soja,0.01,0.0
Uganda,nozes,3.77,6.67
Nepal,suínos,0.67,2.37
Nepal,aves,1.56,1.68
Nepal,bovinos,7.89,243.47
Nepal,caprinos,2.1,73.54
Nepal,peixes,2.17,3.46
Nepal,ovos,1.42,1.3
Nepal,laticínios,52.1,74.21
Nepal,trigo,50.46,9.62
Nepal,arroz,87.75,112.29
Nepal,soja,0.01,0.0
Nepal,nozes,2.42,4.28
Iran,suínos,0.0,0.0
Iran,aves,25.38,27.26
Iran,bovinos,3.58,110.47
Iran,caprinos,3.69,129.22
Iran,peixes,9.8,15.65
Iran,ovos,7.7,7.07
Iran,laticínios,46.69,66.51
Iran,trigo,153.31,29.24
Iran,arroz,29.95,38.33
Iran,soja,0.0,0.0
Iran,nozes,12.16,21.52
Tanzania,suínos,0.32,1.13
Tanzania,aves,1.84,1.98
Tanzania,bovinos,6.09,187.92
Tanzania,caprinos,1.28,44.83
Tanzania,peixes,5.5,8.78
Tanzania,ovos,0.58,0.53
Tanzania,laticínios,40.29,57.39
Tanzania,trigo,15.94,3.04
Tanzania,arroz,21.01,26.89
Tanzania,soja,0.04,0.02
Tanzania,nozes,5.94,10.51
Senegal,suínos,0.94,3.33
Senegal,aves,4.62,4.96
Senegal,bovinos,5.85,180.52
Senegal,caprinos,3.19,111.71
Senegal,peixes,22.94,36.63
Senegal,ovos,1.63,1.5
Senegal,laticínios,16.86,24.02
Senegal,trigo,37.32,7.12
Senegal,arroz,72.29,92.51
Senegal,soja,0.0,0.0
Senegal,nozes,4.03,7.13
Peru,suínos,3.85,13.63
Peru,aves,11.72,12.59
Peru,bovinos,4.69,144.72
Peru,caprinos,1.0,35.02
Peru,peixes,15.74,25.13
Peru,ovos,8.76,8.05
Peru,laticínios,62.15,88.53
Peru,trigo,56.12,10.7
Peru,arroz,48.92,62.6
Peru,soja,1.59,0.72
Peru,nozes,0.65,1.15
Nicaragua,suínos,3.38,11.96
Nicaragua,aves,21.31,22.89
Nicaragua,bovinos,4.73,145.96
Nicaragua,caprinos,0.01,0.35
Nicaragua,peixes,3.59,5.73
Nicaragua,ovos,4.9,4.5
Nicaragua,laticínios,85.16,121.3
Nicaragua,trigo,28.17,5.37
Nicaragua,arroz,43.33,55.45
Nicaragua,soja,0.01,0.0
Nicaragua,nozes,2.36,4.18
Vietnam,suínos,35.0,123.88
Vietnam,aves,12.36,13.28
Vietnam,bovinos,7.44,229.58
Vietnam,caprinos,0.14,4.9
Vietnam,peixes,26.52,42.34
Vietnam,ovos,3.84,3.53
Vietnam,laticínios,16.36,23.3
Vietnam,trigo,10.49,2.0
Vietnam,arroz,144.56,184.99
Vietnam,soja,5.75,2.59
Vietnam,nozes,6.28,11.12
Ethiopia,suínos,0.02,0.07
Ethiopia,aves,0.66,0.71
Ethiopia,bovinos,3.61,111.4
Ethiopia,caprinos,1.57,54.98
Ethiopia,peixes,0.24,0.38
Ethiopia,ovos,0.36,0.33
Ethiopia,laticínios,44.14,62.87
Ethiopia,trigo,31.26,5.96
Ethiopia,arroz,2.25,2.88
Ethiopia,soja,0.45,0.2
Ethiopia,nozes,1.21,2.14
Myanmar,suínos,11.31,40.03
Myanmar,aves,21.87,23.49
Myanmar,bovinos,4.94,152.44
Myanmar,caprinos,0.89,31.17
Myanmar,peixes,54.26,86.64
Myanmar,ovos,6.45,5.92
Myanmar,laticínios,31.48,44.84
Myanmar,trigo,6.22,1.19
Myanmar,arroz,132.8,169.94
Myanmar,soja,0.38,0.17
Myanmar,nozes,4.5,7.97
Congo,suínos,2.39,8.46
Congo,aves,13.02,13.99
Congo,bovinos,4.35,134.23
Congo,caprinos,0.4,14.01
Congo,peixes,26.22,41.86
Congo,ovos,0.6,0.55
Congo,laticínios,10.69,15.23
Congo,trigo,40.07,7.64
Congo,arroz,16.51,21.13
Congo,soja,0.0,0.0
Congo,nozes,3.08,5.45
Zambia,suínos,1.66,5.88
Zambia,aves,3.29,3.53
Zambia,bovinos,4.76,146.88
Zambia,caprinos,0.68,23.81
Zambia,peixes,6.2,9.9
Zambia,ovos,3.32,3.05
Zambia,laticínios,9.71,13.83
Zambia,trigo,12.1,2.31
Zambia,arroz,3.05,3.9
Zambia,soja,7.3,3.29
Zambia,nozes,5.04,8.92
Cameroon,suínos,1.47,5.2
Cameroon,aves,3.29,3.53
Cameroon,bovinos,4.17,128.68
Cameroon,caprinos,1.4,49.03
Cameroon,peixes,14.71,23.49
Cameroon,ovos,0.4,0.37
Cameroon,laticínios,15.27,21.75
Cameroon,trigo,22.6,4.31
Cameroon,arroz,23.85,30.52
Cameroon,soja,0.64,0.29
Cameroon,nozes,9.29,16.44
Madagascar,suínos,2.56,9.06
Madagascar,aves,3.14,3.37
Madagascar,bovinos,7.51,231.74
Madagascar,caprinos,0.57,19.96
Madagascar,peixes,4.41,7.04
Madagascar,ovos,0.71,0.65
Madagascar,laticínios,24.84,35.38
Madagascar,trigo,9.01,1.72
Madagascar,arroz,102.53,131.21
Madagascar,soja,0.0,0.0
Madagascar,nozes,0.35,0.62
Malawi,suínos,5.45,19.29
Malawi,aves,1.38,1.48
Malawi,bovinos,2.35,72.52
Malawi,caprinos,2.07,72.49
Malawi,peixes,7.33,11.7
Malawi,ovos,1.08,0.99
Malawi,laticínios,7.98,11.37
Malawi,trigo,11.77,2.24
Malawi,arroz,4.75,6.08
Malawi,soja,1.76,0.79
Malawi,nozes,5.08,8.99
Guinea,suínos,0.16,0.57
Guinea,aves,1.83,1.97
Guinea,bovinos,6.26,193.17
Guinea,caprinos,1.6,56.03
Guinea,peixes,9.18,14.66
Guinea,ovos,1.95,1.79
Guinea,laticínios,20.62,29.37
Guinea,trigo,18.55,3.54
Guinea,arroz,97.12,124.28
Guinea,soja,0.0,0.0
Guinea,nozes,4.14,7.33
Nigeria,suínos,1.47,5.2
Nigeria,aves,1.73,1.86
Nigeria,bovinos,2.33,71.9
Nigeria,caprinos,2.72,95.25
Nigeria,peixes,16.03,25.59
Nigeria,ovos,3.46,3.18
Nigeria,laticínios,7.91,11.27
Nigeria,trigo,20.82,3.97
Nigeria,arroz,28.23,36.13
Nigeria,soja,2.6,1.17
Nigeria,nozes,6.93,12.27
Rwanda,suínos,0.76,2.69
Rwanda,aves,1.34,1.44
Rwanda,bovinos,2.53,78.07
Rwanda,caprinos,1.93,67.59
Rwanda,peixes,3.88,6.2
Rwanda,ovos,0.16,0.15
Rwanda,laticínios,7.23,10.3
Rwanda,trigo,11.34,2.16
Rwanda,arroz,8.7,11.13
Rwanda,soja,1.93,0.87
Rwanda,nozes,0.58,1.03
Philippines,suínos,18.4,65.13
Philippines,aves,11.91,12.79
Philippines,bovinos,4.06,125.28
Philippines,caprinos,0.56,19.61
Philippines,peixes,28.51,45.52
Philippines,ovos,4.02,3.69
Philippines,laticínios,15.66,22.31
Philippines,trigo,23.12,4.41
Philippines,arroz,119.44,152.85
Philippines,soja,0.03,0.01
Philippines,nozes,2.08,3.68
Ghana,suínos,1.36,4.81
Ghana,aves,8.63,9.27
Ghana,bovinos,1.09,33.64
Ghana,caprinos,1.74,60.93
Ghana,peixes,26.05,41.59
Ghana,ovos,1.21,1.11
Ghana,laticínios,9.08,12.93
Ghana,trigo,14.45,2.76
Ghana,arroz,32.03,40.99
Ghana,soja,0.01,0.0
Ghana,nozes,5.56,9.84
Togo,suínos,1.57,5.56
Togo,aves,6.63,7.12
Togo,bovinos,1.53,47.21
Togo,caprinos,1.58,55.33
Togo,peixes,11.69,18.67
Togo,ovos,0.86,0.79
Togo,laticínios,7.96,11.34
Togo,trigo,12.91,2.46
Togo,arroz,25.99,33.26
Togo,soja,0.01,0.0
Togo,nozes,3.59,6.35
Gambia,suínos,0.18,0.64
Gambia,aves,2.66,2.86
Gambia,bovinos,2.16,66.65
Gambia,caprinos,0.71,24.86
Gambia,peixes,23.13,36.93
Gambia,ovos,0.99,0.91
Gambia,laticínios,45.71,65.11
Gambia,trigo,37.91,7.23
Gambia,arroz,61.84,79.14
Gambia,soja,0.0,0.0
Gambia,nozes,5.27,9.33
India,suínos,0.28,0.99
India,aves,1.88,2.02
India,bovinos,0.81,24.99
India,caprinos,0.58,20.31
India,peixes,4.71,7.52
India,ovos,2.58,2.37
India,laticínios,84.5,120.36
India,trigo,60.56,11.55
India,arroz,69.49,88.93
India,soja,0.39,0.18
India,nozes,1.92,3.4
Thailand,suínos,13.0,46.01
Thailand,aves,13.69,14.71
Thailand,bovinos,2.56,79.0
Thailand,caprinos,0.05,1.75
Thailand,peixes,19.45,31.06
Thailand,ovos,12.35,11.34
Thailand,laticínios,29.35,41.81
Thailand,trigo,10.93,2.08
Thailand,arroz,114.57,146.62
Thailand,soja,2.13,0.96
Thailand,nozes,1.5,2.66
Mozambique,suínos,5.13,18.16
Mozambique,aves,1.41,1.51
Mozambique,bovinos,1.04,32.09
Mozambique,caprinos,0.9,31.52
Mozambique,peixes,7.74,12.36
Mozambique,ovos,1.7,1.56
Mozambique,laticínios,4.79,6.82
Mozambique,trigo,14.65,2.79
Mozambique,arroz,23.41,29.96
Mozambique,soja,0.03,0.01
Mozambique,nozes,2.61,4.62
Cambodia,suínos,6.52,23.08
Cambodia,aves,1.84,1.98
Cambodia,bovinos,4.85,149.66
Cambodia,caprinos,0.0,0.0
Cambodia,peixes,39.59,63.21
Cambodia,ovos,1.37,1.26
Cambodia,laticínios,3.47,4.94
Cambodia,trigo,2.74,0.52
Cambodia,arroz,159.1,203.6
Cambodia,soja,4.33,1.95
Cambodia,nozes,1.25,2.21
Sierra Leone,suínos,1.22,4.32
Sierra Leone,aves,4.97,5.34
Sierra Leone,bovinos,1.99,61.41
Sierra Leone,caprinos,0.65,22.76
Sierra Leone,peixes,32.03,51.14
Sierra Leone,ovos,1.92,1.76
Sierra Leone,laticínios,7.0,9.97
Sierra Leone,trigo,8.72,1.66
Sierra Leone,arroz,103.3,132.19
Sierra Leone,soja,0.0,0.0
Sierra Leone,nozes,5.57,9.86
Sri Lanka,suínos,0.05,0.18
Sri Lanka,aves,4.96,5.33
Sri Lanka,bovinos,1.38,42.58
Sri Lanka,caprinos,0.09,3.15
Sri Lanka,peixes,24.92,39.79
Sri Lanka,ovos,4.57,4.2
Sri Lanka,laticínios,34.98,49.83
Sri Lanka,trigo,37.01,7.06
Sri Lanka,arroz,109.72,140.41
Sri Lanka,soja,0.0,0.0
Sri Lanka,nozes,1.09,1.93
Indonesia,suínos,2.98,10.55
Indonesia,aves,7.5,8.06
Indonesia,bovinos,2.59,79.92
Indonesia,caprinos,0.46,16.11
Indonesia,peixes,25.65,40.95
Indonesia,ovos,4.88,4.48
Indonesia,laticínios,14.82,21.11
Indonesia,trigo,25.45,4.85
Indonesia,arroz,134.62,172.27
Indonesia,soja,1.12,0.5
Indonesia,nozes,4.92,8.71
Liberia,suínos,4.01,14.19
Liberia,aves,8.91,9.57
Liberia,bovinos,0.78,24.07
Liberia,caprinos,0.48,16.81
Liberia,peixes,4.13,6.59
Liberia,ovos,2.05,1.88
Liberia,laticínios,3.04,4.33
Liberia,trigo,10.95,2.09
Liberia,arroz,94.75,121.25
Liberia,soja,0.63,0.28
Liberia,nozes,1.31,2.32
Bangladesh,suínos,0.0,0.0
Bangladesh,aves,1.4,1.5
Bangladesh,bovinos,1.28,39.5
Bangladesh,caprinos,1.33,46.58
Bangladesh,peixes,18.07,28.85
Bangladesh,ovos,2.08,1.91
Bangladesh,laticínios,21.91,31.21
Bangladesh,trigo,17.47,3.33
Bangladesh,arroz,171.73,219.76
Bangladesh,soja,0.61,0.27
Bangladesh,nozes,0.72,1.27
